name,x,y
LOCKb2014b_000261,970.481,213.433
LOCKb2014b_000261,556.135,182.853
LOCKb2014b_000261,328.489,315.315
LOCKb2014b_000261,737.7305,242.1665
LOCKb2014b_000261,35.477,274.658
LOCKb2014b_000261,59.645,268.391
LOCKb2014b_000261,492.909,201.559
LOCKb2014b_000261,845.133,212.188
LOCKb2014b_000261,601.001,298.6765
LOCKb2014b_000261,195.112,591.6985
LOCKb2014b_000262,542.2295,186.048
LOCKb2014b_000262,982.746,211.393
LOCKb2014b_000262,729.177,238.754
LOCKb2014b_000262,318.1565,390.2205
LOCKb2014b_000262,457.789,580.122
LOCKb2014b_000262,475.2445,205.756
LOCKb2014b_000262,495.862,202.69
LOCKb2014b_000262,845.613,214.888
LOCKb2014b_000262,345.103,308.323
LOCKb2014b_000262,19.751,274.468
LOCKb2014b_000262,869.6745,213.509
LOCKb2014b_000262,732.034,591.455
LOCKb2014b_000262,217.8975,586.2725
LOCKb2014b_000262,190.4455,601.621
LOCKb2014b_000262,563.335,176.97
LOCKb2014b_000262,51.343,275.4525
LOCKb2014b_000263,776.547,171.428
LOCKb2014b_000263,560.773,179.5395
LOCKb2014b_000263,861.3105,215.404
LOCKb2014b_000263,487.8565,203.6555
LOCKb2014b_000263,546.456,186.1
LOCKb2014b_000263,730.282,242.9295
LOCKb2014b_000263,340.012,311.6415
LOCKb2014b_000263,991.59,213.328
LOCKb2014b_000263,601.986,299.422
LOCKb2014b_000263,60.63,271.218
LOCKb2014b_000263,26.307,276.2855
LOCKb2014b_000263,723.0475,596.6945
LOCKb2014b_000263,313.0525,391.0285
LOCKb2014b_000263,847.569,213.186
LOCKb2014b_000263,179.5355,599.8175
LOCKb2014b_000263,968.92,210.389
LOCKb2014b_000264,858.889,208.23
LOCKb2014b_000264,220.4645,578.1085
LOCKb2014b_000264,492.884,200.948
LOCKb2014b_000264,461.659,574.372
LOCKb2014b_000264,345.4505,308.0555
LOCKb2014b_000264,785.1025,169.399
LOCKb2014b_000264,300.127,388.184
LOCKb2014b_000264,550.963,182.464
LOCKb2014b_000264,978.422,214.788
LOCKb2014b_000264,476.363,202.816
LOCKb2014b_000264,839.174,209.102
LOCKb2014b_000264,39.337,270.422
LOCKb2014b_000264,449.589,574.644
LOCKb2014b_000264,720.891,592.417
LOCKb2014b_000264,536.55,185.403
LOCKb2014b_000264,737.6295,241.0185
LOCKb2014b_000264,195.886,595.52
LOCKb2014b_000265,843.375,213.394
LOCKb2014b_000265,742.1445,241.7765
LOCKb2014b_000265,863.56,212.074
LOCKb2014b_000265,493.5865,198.6125
LOCKb2014b_000265,471.293,203.8305
LOCKb2014b_000265,724.0095,592.027
LOCKb2014b_000265,550.604,184.988
LOCKb2014b_000265,976.571,214.2365
LOCKb2014b_000265,316.555,386.855
LOCKb2014b_000265,732.742,243.0885
LOCKb2014b_000265,181.049,599.034
LOCKb2014b_000265,525.5215,183.574
LOCKb2014b_000265,62.369,269.18
LOCKb2014b_000265,32.318,272.4565
LOCKb2014b_000265,213.131,589.314
LOCKb2014b_000266,529.6545,183.706
LOCKb2014b_000266,728.586,239.13
LOCKb2014b_000266,833.7335,211.938
LOCKb2014b_000266,332.521,314.414
LOCKb2014b_000266,45.1215,273.1255
LOCKb2014b_000266,205.4495,597.805
LOCKb2014b_000267,315.762,386.203
LOCKb2014b_000267,794.595,166.861
LOCKb2014b_000267,495.584,199.2555
LOCKb2014b_000267,481.6795,204.113
LOCKb2014b_000267,736.273,241.212
LOCKb2014b_000267,856.97,213.328
LOCKb2014b_000267,36.046,274.972
LOCKb2014b_000267,68.321,268.892
